,Title,Star Rating,Price,Link
46,"We Love You, Charlie Freeman",Five,£50.27,https://books.toscrape.com/catalogue/page-3.html
47,Untitled Collection: Sabbath Poems 2014,Four,£14.27,https://books.toscrape.com/catalogue/page-3.html
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,£44.18,https://books.toscrape.com/catalogue/page-3.html
49,Unicorn Tracks,Three,£18.78,https://books.toscrape.com/catalogue/page-3.html
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,£25.52,https://books.toscrape.com/catalogue/page-3.html
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,£16.28,https://books.toscrape.com/catalogue/page-3.html
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Three,£31.12,https://books.toscrape.com/catalogue/page-3.html
53,This One Summer,Four,£19.49,https://books.toscrape.com/catalogue/page-3.html
54,Thirst,Five,£17.27,https://books.toscrape.com/catalogue/page-3.html
55,The Torch Is Passed: A Harding Family Story,One,£19.09,https://books.toscrape.com/catalogue/page-3.html
56,The Secret of Dreadwillow Carse,One,£56.13,https://books.toscrape.com/catalogue/page-3.html
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",One,£56.41,https://books.toscrape.com/catalogue/page-3.html
58,The Past Never Ends,Four,£56.50,https://books.toscrape.com/catalogue/page-3.html
59,The Natural History of Us (The Fine Art of Pretending #2),Three,£45.22,https://books.toscrape.com/catalogue/page-3.html
60,The Nameless City (The Nameless City #1),Four,£38.16,https://books.toscrape.com/catalogue/page-4.html
61,The Murder That Never Was (Forensic Instincts #5),Three,£54.11,https://books.toscrape.com/catalogue/page-4.html
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,£42.96,https://books.toscrape.com/catalogue/page-4.html
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,£23.89,https://books.toscrape.com/catalogue/page-4.html
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,£16.77,https://books.toscrape.com/catalogue/page-4.html
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,£20.59,https://books.toscrape.com/catalogue/page-4.html
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,£37.13,https://books.toscrape.com/catalogue/page-4.html
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,One,£56.06,https://books.toscrape.com/catalogue/page-4.html
68,The Death of Humanity: and the Case for Life,Four,£58.11,https://books.toscrape.com/catalogue/page-4.html
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Three,£49.05,https://books.toscrape.com/catalogue/page-4.html
70,The Art Forger,Three,£40.76,https://books.toscrape.com/catalogue/page-4.html
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,£19.73,https://books.toscrape.com/catalogue/page-4.html
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,£32.24,https://books.toscrape.com/catalogue/page-4.html
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,£41.83,https://books.toscrape.com/catalogue/page-4.html
74,Soul Reader,Two,£39.58,https://books.toscrape.com/catalogue/page-4.html
75,Security,Two,£39.25,https://books.toscrape.com/catalogue/page-4.html
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,£25.02,https://books.toscrape.com/catalogue/page-4.html
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",Two,£51.04,https://books.toscrape.com/catalogue/page-4.html
78,Reskilling America: Learning to Labor in the Twenty-First Century,Two,£19.83,https://books.toscrape.com/catalogue/page-4.html
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,£50.40,https://books.toscrape.com/catalogue/page-4.html
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Five,£13.61,https://books.toscrape.com/catalogue/page-5.html
81,Princess Between Worlds (Wide-Awake Princess #5),Five,£13.34,https://books.toscrape.com/catalogue/page-5.html
82,"Pop Gun War, Volume 1: Gift",One,£18.97,https://books.toscrape.com/catalogue/page-5.html
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,£36.28,https://books.toscrape.com/catalogue/page-5.html
84,Patience,Three,£10.16,https://books.toscrape.com/catalogue/page-5.html
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,£15.44,https://books.toscrape.com/catalogue/page-5.html
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),One,£48.41,https://books.toscrape.com/catalogue/page-5.html
87,Online Marketing for Busy Authors: A Step-By-Step Guide,One,£46.35,https://books.toscrape.com/catalogue/page-5.html
88,On a Midnight Clear,Three,£14.07,https://books.toscrape.com/catalogue/page-5.html
89,Obsidian (Lux #1),Two,£14.86,https://books.toscrape.com/catalogue/page-5.html
90,My Paris Kitchen: Recipes and Stories,Two,£33.37,https://books.toscrape.com/catalogue/page-5.html
91,Masks and Shadows,Two,£56.40,https://books.toscrape.com/catalogue/page-5.html
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,£14.02,https://books.toscrape.com/catalogue/page-5.html
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,£46.91,https://books.toscrape.com/catalogue/page-5.html
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,£45.61,https://books.toscrape.com/catalogue/page-5.html
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,£19.92,https://books.toscrape.com/catalogue/page-5.html
96,"Layered: Baking, Building, and Styling Spectacular Cakes",One,£40.11,https://books.toscrape.com/catalogue/page-5.html
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,£53.90,https://books.toscrape.com/catalogue/page-5.html
98,Join,Five,£35.67,https://books.toscrape.com/catalogue/page-5.html
99,In the Country We Love: My Family Divided,Four,£22.00,https://books.toscrape.com/catalogue/page-5.html
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Five,£57.36,https://books.toscrape.com/catalogue/page-6.html
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Two,£29.17,https://books.toscrape.com/catalogue/page-6.html
102,I am a Hero Omnibus Volume 1,Three,£54.63,https://books.toscrape.com/catalogue/page-6.html
103,How to Be Miserable: 40 Strategies You Already Use,One,£46.03,https://books.toscrape.com/catalogue/page-6.html
104,Her Backup Boyfriend (The Sorensen Family #1),One,£33.97,https://books.toscrape.com/catalogue/page-6.html
105,"Giant Days, Vol. 2 (Giant Days #5-8)",Two,£22.11,https://books.toscrape.com/catalogue/page-6.html
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Three,£29.69,https://books.toscrape.com/catalogue/page-6.html
107,First and First (Five Boroughs #3),Four,£15.97,https://books.toscrape.com/catalogue/page-6.html
108,Fifty Shades Darker (Fifty Shades #2),One,£21.96,https://books.toscrape.com/catalogue/page-6.html
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Two,£54.35,https://books.toscrape.com/catalogue/page-6.html
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Two,£37.97,https://books.toscrape.com/catalogue/page-6.html
111,Danganronpa Volume 1,Four,£51.99,https://books.toscrape.com/catalogue/page-6.html
112,Crown of Midnight (Throne of Glass #2),Three,£43.29,https://books.toscrape.com/catalogue/page-6.html
113,"Codename Baboushka, Volume 1: The Conclave of Death",Four,£36.72,https://books.toscrape.com/catalogue/page-6.html
114,Camp Midnight,Four,£17.08,https://books.toscrape.com/catalogue/page-6.html
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Five,£29.14,https://books.toscrape.com/catalogue/page-6.html
116,Burning,Three,£28.81,https://books.toscrape.com/catalogue/page-6.html
117,Bossypants,Two,£49.46,https://books.toscrape.com/catalogue/page-6.html
118,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Two,£37.92,https://books.toscrape.com/catalogue/page-6.html
119,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Two,£28.09,https://books.toscrape.com/catalogue/page-6.html
120,Algorithms to Live By: The Computer Science of Human Decisions,One,£30.81,https://books.toscrape.com/catalogue/page-7.html
121,A World of Flavor: Your Gluten Free Passport,One,£42.95,https://books.toscrape.com/catalogue/page-7.html
122,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Five,£56.76,https://books.toscrape.com/catalogue/page-7.html
123,A Murder in Time,One,£16.64,https://books.toscrape.com/catalogue/page-7.html
124,A Flight of Arrows (The Pathfinders #2),Five,£55.53,https://books.toscrape.com/catalogue/page-7.html
125,A Fierce and Subtle Poison,Four,£28.13,https://books.toscrape.com/catalogue/page-7.html
126,A Court of Thorns and Roses (A Court of Thorns and Roses #1),One,£52.37,https://books.toscrape.com/catalogue/page-7.html
127,(Un)Qualified: How God Uses Broken People to Do Big Things,Five,£54.00,https://books.toscrape.com/catalogue/page-7.html
128,You Are What You Love: The Spiritual Power of Habit,Four,£21.87,https://books.toscrape.com/catalogue/page-7.html
129,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Four,£43.30,https://books.toscrape.com/catalogue/page-7.html
130,Tuesday Nights in 1980,Two,£21.04,https://books.toscrape.com/catalogue/page-7.html
131,Tracing Numbers on a Train,Three,£41.60,https://books.toscrape.com/catalogue/page-7.html
132,Throne of Glass (Throne of Glass #1),Three,£35.07,https://books.toscrape.com/catalogue/page-7.html
133,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,One,£59.64,https://books.toscrape.com/catalogue/page-7.html
134,Thirteen Reasons Why,One,£52.72,https://books.toscrape.com/catalogue/page-7.html
135,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Four,£58.08,https://books.toscrape.com/catalogue/page-7.html
136,The Wedding Dress,One,£24.12,https://books.toscrape.com/catalogue/page-7.html
137,The Vacationers,Four,£42.15,https://books.toscrape.com/catalogue/page-7.html
138,The Third Wave: An Entrepreneur’s Vision of the Future,Five,£12.61,https://books.toscrape.com/catalogue/page-7.html
139,The Stranger,Four,£17.44,https://books.toscrape.com/catalogue/page-7.html
140,The Shadow Hero (The Shadow Hero),One,£33.14,https://books.toscrape.com/catalogue/page-8.html
141,The Secret (The Secret #1),Four,£27.37,https://books.toscrape.com/catalogue/page-8.html
142,The Regional Office Is Under Attack!,Five,£51.36,https://books.toscrape.com/catalogue/page-8.html
143,The Psychopath Test: A Journey Through the Madness Industry,Two,£36.00,https://books.toscrape.com/catalogue/page-8.html
144,The Project,One,£10.65,https://books.toscrape.com/catalogue/page-8.html
145,The Power of Now: A Guide to Spiritual Enlightenment,Two,£43.54,https://books.toscrape.com/catalogue/page-8.html
146,The Omnivore's Dilemma: A Natural History of Four Meals,Two,£38.21,https://books.toscrape.com/catalogue/page-8.html
147,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Five,£37.34,https://books.toscrape.com/catalogue/page-8.html
148,The Murder of Roger Ackroyd (Hercule Poirot #4),Four,£44.10,https://books.toscrape.com/catalogue/page-8.html
149,The Mistake (Off-Campus #2),Three,£43.29,https://books.toscrape.com/catalogue/page-8.html
150,The Matchmaker's Playbook (Wingmen Inc. #1),One,£55.85,https://books.toscrape.com/catalogue/page-8.html
151,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Two,£37.60,https://books.toscrape.com/catalogue/page-8.html
152,The Long Shadow of Small Ghosts: Murder and Memory in an American City,One,£10.97,https://books.toscrape.com/catalogue/page-8.html
153,The Kite Runner,Four,£41.82,https://books.toscrape.com/catalogue/page-8.html
154,The House by the Lake,One,£36.95,https://books.toscrape.com/catalogue/page-8.html
155,The Glittering Court (The Glittering Court #1),One,£44.28,https://books.toscrape.com/catalogue/page-8.html
156,The Girl on the Train,Two,£55.02,https://books.toscrape.com/catalogue/page-8.html
157,The Genius of Birds,One,£17.24,https://books.toscrape.com/catalogue/page-8.html
158,The Emerald Mystery,Two,£23.15,https://books.toscrape.com/catalogue/page-8.html
159,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,One,£41.25,https://books.toscrape.com/catalogue/page-8.html
160,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Three,£32.00,https://books.toscrape.com/catalogue/page-9.html
161,The Artist's Way: A Spiritual Path to Higher Creativity,Five,£38.49,https://books.toscrape.com/catalogue/page-9.html
162,The Art of War,Five,£33.34,https://books.toscrape.com/catalogue/page-9.html
163,The Argonauts,Two,£10.93,https://books.toscrape.com/catalogue/page-9.html
164,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Three,£27.55,https://books.toscrape.com/catalogue/page-9.html
165,Suddenly in Love (Lake Haven #1),Two,£55.99,https://books.toscrape.com/catalogue/page-9.html
166,Something More Than This,Four,£16.24,https://books.toscrape.com/catalogue/page-9.html
167,Soft Apocalypse,Two,£26.12,https://books.toscrape.com/catalogue/page-9.html
168,So You've Been Publicly Shamed,Two,£12.23,https://books.toscrape.com/catalogue/page-9.html
169,Shoe Dog: A Memoir by the Creator of NIKE,Two,£23.99,https://books.toscrape.com/catalogue/page-9.html
170,"Shobu Samurai, Project Aryoku (#3)",Three,£29.06,https://books.toscrape.com/catalogue/page-9.html
171,Secrets and Lace (Fatal Hearts #1),One,£20.27,https://books.toscrape.com/catalogue/page-9.html
172,Scarlett Epstein Hates It Here,Five,£43.55,https://books.toscrape.com/catalogue/page-9.html
173,Romero and Juliet: A Tragic Tale of Love and Zombies,One,£36.94,https://books.toscrape.com/catalogue/page-9.html
174,Redeeming Love,Five,£20.47,https://books.toscrape.com/catalogue/page-9.html
175,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,One,£41.06,https://books.toscrape.com/catalogue/page-9.html
176,Poems That Make Grown Women Cry,Four,£14.19,https://books.toscrape.com/catalogue/page-9.html
177,"Nightingale, Sing",One,£38.28,https://books.toscrape.com/catalogue/page-9.html
178,Night Sky with Exit Wounds,One,£41.05,https://books.toscrape.com/catalogue/page-9.html
179,Mrs. Houdini,Five,£30.25,https://books.toscrape.com/catalogue/page-9.html
180,Modern Romance,Five,£28.26,https://books.toscrape.com/catalogue/page-10.html
181,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),One,£10.76,https://books.toscrape.com/catalogue/page-10.html
182,Louisa: The Extraordinary Life of Mrs. Adams,Two,£16.85,https://books.toscrape.com/catalogue/page-10.html
183,Little Red,Three,£13.47,https://books.toscrape.com/catalogue/page-10.html
184,Library of Souls (Miss Peregrine’s Peculiar Children #3),Five,£48.56,https://books.toscrape.com/catalogue/page-10.html
185,Large Print Heart of the Pride,Two,£19.15,https://books.toscrape.com/catalogue/page-10.html
186,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Four,£57.36,https://books.toscrape.com/catalogue/page-10.html
187,Hollow City (Miss Peregrine’s Peculiar Children #2),One,£42.98,https://books.toscrape.com/catalogue/page-10.html
188,Grumbles,Two,£22.16,https://books.toscrape.com/catalogue/page-10.html
189,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Four,£49.43,https://books.toscrape.com/catalogue/page-10.html
190,Frostbite (Vampire Academy #2),Five,£29.99,https://books.toscrape.com/catalogue/page-10.html
191,Follow You Home,One,£21.36,https://books.toscrape.com/catalogue/page-10.html
192,First Steps for New Christians (Print Edition),One,£29.00,https://books.toscrape.com/catalogue/page-10.html
193,Finders Keepers (Bill Hodges Trilogy #2),Five,£53.53,https://books.toscrape.com/catalogue/page-10.html
194,"Fables, Vol. 1: Legends in Exile (Fables #1)",Four,£41.62,https://books.toscrape.com/catalogue/page-10.html
195,Eureka Trivia 6.0,Four,£54.59,https://books.toscrape.com/catalogue/page-10.html
196,Drive: The Surprising Truth About What Motivates Us,Four,£34.95,https://books.toscrape.com/catalogue/page-10.html
197,Done Rubbed Out (Reightman & Bailey #1),Five,£37.72,https://books.toscrape.com/catalogue/page-10.html
198,Doing It Over (Most Likely To #1),Three,£35.61,https://books.toscrape.com/catalogue/page-10.html
199,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Three,£42.16,https://books.toscrape.com/catalogue/page-10.html
200,Dark Notes,Five,£19.19,https://books.toscrape.com/catalogue/page-11.html
201,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Three,£19.43,https://books.toscrape.com/catalogue/page-11.html
202,Close to You,Four,£49.46,https://books.toscrape.com/catalogue/page-11.html
203,Chasing Heaven: What Dying Taught Me About Living,Two,£37.80,https://books.toscrape.com/catalogue/page-11.html
204,Big Magic: Creative Living Beyond Fear,Three,£30.80,https://books.toscrape.com/catalogue/page-11.html
205,Becoming Wise: An Inquiry into the Mystery and Art of Living,Two,£27.43,https://books.toscrape.com/catalogue/page-11.html
206,Beauty Restored (Riley Family Legacy Novellas #3),Two,£11.11,https://books.toscrape.com/catalogue/page-11.html
207,Batman: The Long Halloween (Batman),Two,£36.50,https://books.toscrape.com/catalogue/page-11.html
208,Batman: The Dark Knight Returns (Batman),Five,£15.38,https://books.toscrape.com/catalogue/page-11.html
209,Ayumi's Violin,Two,£15.48,https://books.toscrape.com/catalogue/page-11.html
210,Anonymous,Four,£46.82,https://books.toscrape.com/catalogue/page-11.html
211,Amy Meets the Saints and Sages,Three,£18.46,https://books.toscrape.com/catalogue/page-11.html
212,Amid the Chaos,One,£36.58,https://books.toscrape.com/catalogue/page-11.html
213,Amatus,Five,£50.54,https://books.toscrape.com/catalogue/page-11.html
214,Agnostic: A Spirited Manifesto,Five,£12.51,https://books.toscrape.com/catalogue/page-11.html
215,Zealot: The Life and Times of Jesus of Nazareth,Three,£24.70,https://books.toscrape.com/catalogue/page-11.html
216,You (You #1),Five,£43.61,https://books.toscrape.com/catalogue/page-11.html
217,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Four,£37.34,https://books.toscrape.com/catalogue/page-11.html
218,Wild Swans,Two,£14.36,https://books.toscrape.com/catalogue/page-11.html
219,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Four,£52.65,https://books.toscrape.com/catalogue/page-11.html
220,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Four,£38.20,https://books.toscrape.com/catalogue/page-12.html
221,What's It Like in Space?: Stories from Astronauts Who've Been There,Two,£19.60,https://books.toscrape.com/catalogue/page-12.html
222,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",One,£53.90,https://books.toscrape.com/catalogue/page-12.html
223,Walt Disney's Alice in Wonderland,Five,£12.96,https://books.toscrape.com/catalogue/page-12.html
224,V for Vendetta (V for Vendetta Complete),Four,£37.10,https://books.toscrape.com/catalogue/page-12.html
225,Until Friday Night (The Field Party #1),Two,£46.31,https://books.toscrape.com/catalogue/page-12.html
226,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Two,£45.95,https://books.toscrape.com/catalogue/page-12.html
227,Twenty Yawns,Two,£22.08,https://books.toscrape.com/catalogue/page-12.html
228,Through the Woods,Two,£25.38,https://books.toscrape.com/catalogue/page-12.html
229,This Is Where It Ends,Two,£27.12,https://books.toscrape.com/catalogue/page-12.html
230,The Year of Magical Thinking,Two,£43.04,https://books.toscrape.com/catalogue/page-12.html
231,The Wright Brothers,Four,£56.80,https://books.toscrape.com/catalogue/page-12.html
232,The White Queen (The Cousins' War #1),Five,£25.91,https://books.toscrape.com/catalogue/page-12.html
233,The Wedding Pact (The O'Malleys #2),Three,£32.61,https://books.toscrape.com/catalogue/page-12.html
234,The Time Keeper,Five,£27.88,https://books.toscrape.com/catalogue/page-12.html
235,The Testament of Mary,Four,£52.67,https://books.toscrape.com/catalogue/page-12.html
236,The Star-Touched Queen,Five,£46.02,https://books.toscrape.com/catalogue/page-12.html
237,The Songs of the Gods,Five,£44.48,https://books.toscrape.com/catalogue/page-12.html
238,The Song of Achilles,Five,£37.40,https://books.toscrape.com/catalogue/page-12.html
239,The Rosie Project (Don Tillman #1),One,£54.04,https://books.toscrape.com/catalogue/page-12.html
240,The Power of Habit: Why We Do What We Do in Life and Business,Three,£16.88,https://books.toscrape.com/catalogue/page-13.html
241,The Marriage of Opposites,Four,£28.08,https://books.toscrape.com/catalogue/page-13.html
242,The Lucifer Effect: Understanding How Good People Turn Evil,One,£10.40,https://books.toscrape.com/catalogue/page-13.html
243,The Long Haul (Diary of a Wimpy Kid #9),One,£44.07,https://books.toscrape.com/catalogue/page-13.html
244,The Loney,One,£23.40,https://books.toscrape.com/catalogue/page-13.html
245,The Literature Book (Big Ideas Simply Explained),Three,£17.43,https://books.toscrape.com/catalogue/page-13.html
246,The Last Mile (Amos Decker #2),Two,£54.21,https://books.toscrape.com/catalogue/page-13.html
247,The Immortal Life of Henrietta Lacks,Two,£40.67,https://books.toscrape.com/catalogue/page-13.html
248,The Hidden Oracle (The Trials of Apollo #1),Two,£52.26,https://books.toscrape.com/catalogue/page-13.html
249,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Three,£28.77,https://books.toscrape.com/catalogue/page-13.html
250,The Guilty (Will Robie #4),Two,£13.82,https://books.toscrape.com/catalogue/page-13.html
251,The First Hostage (J.B. Collins #2),Three,£25.85,https://books.toscrape.com/catalogue/page-13.html
252,The Dovekeepers,One,£48.78,https://books.toscrape.com/catalogue/page-13.html
253,The Darkest Lie,Five,£35.35,https://books.toscrape.com/catalogue/page-13.html
254,The Bane Chronicles (The Bane Chronicles #1-11),Four,£44.73,https://books.toscrape.com/catalogue/page-13.html
255,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,One,£15.77,https://books.toscrape.com/catalogue/page-13.html
256,The 14th Colony (Cotton Malone #11),One,£39.24,https://books.toscrape.com/catalogue/page-13.html
257,That Darkness (Gardiner and Renner #1),One,£13.92,https://books.toscrape.com/catalogue/page-13.html
258,Tastes Like Fear (DI Marnie Rome #3),One,£10.69,https://books.toscrape.com/catalogue/page-13.html
259,Take Me with You,Three,£45.21,https://books.toscrape.com/catalogue/page-13.html
260,Swell: A Year of Waves,One,£45.58,https://books.toscrape.com/catalogue/page-14.html
261,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Five,£11.89,https://books.toscrape.com/catalogue/page-14.html
262,Still Life with Bread Crumbs,Three,£26.41,https://books.toscrape.com/catalogue/page-14.html
263,Steve Jobs,Five,£39.50,https://books.toscrape.com/catalogue/page-14.html
